"Season","Squad","Comp","Player","Nation","Pos","Age","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","MP","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Excelsior","Eredivisie","Lazaros Lamprou","GRE","FW,MF","24",16,1472,16.4,4,2,6,4,0,0,1,0,3.6,3.6,2,5.6,41,43,112,0.24,0.12,0.37,0.24,0.37,0.22,0.12,0.34,0.22,0.34,28,16.4,18,11,11,4,3,13,31,41.9,18,19,0,19,8,26,14,0,341,488,69.9,5251,1472,209,263,79.5,92,129,71.3,27,58,46.6,2,2.4,0,18,18,17,1,43,4,32,9,28.1,1.96,0.55,0.13,0.44,16.9,3,0,0,0.11,0.4,0.4,488,438,50,10,2,6,42,10,23,10,11,0,341,0,19,46,2.81,24,8,7,1,5,1,2,0.12,1,1,0,0,0,0,681,21,96,281,319,53,681,54,24,44.4,21,38.9,385,2828,1300,41,35,13,50,18,422,112,0,5,16,3,42,11,0,0,0,78,16,29,35.6
"2022-2023","Excelsior","Eredivisie","Peer Koopmeiners","NED","MF","22",16,1446,16.1,0,0,0,0,0,0,1,0,0.4,0.4,1.1,1.5,9,72,28,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,19,16.1,49,27,18,26,5,25,45,55.6,20,35,11,24,15,64,41,0,481,612,78.6,8245,2853,207,238,87,214,260,82.3,42,73,57.5,1.1,1.4,-1.1,10,56,6,2,72,0,8,1,12.5,0.5,0.06,0,0,24.5,0,0,0,0.05,-0.4,-0.4,612,599,13,7,1,2,8,6,0,0,0,0,481,0,13,23,1.43,22,1,0,0,0,0,0,0,0,0,0,0,0,0,804,72,252,435,130,12,804,11,7,63.6,3,27.3,399,1661,688,9,12,2,19,18,401,28,0,25,6,0,8,27,0,0,0,133,24,17,58.5
"2022-2023","Excelsior","Eredivisie","Reda Kharchouch","NED","FW","26",13,1234,13.7,2,1,3,2,0,1,3,0,3.9,3.1,1.4,4.5,20,17,72,0.15,0.07,0.22,0.15,0.22,0.29,0.1,0.39,0.23,0.33,29,13.7,13,10,2,6,5,6,8,75,2,11,2,9,1,14,17,0,220,345,63.8,2851,527,136,194,70.1,62,95,65.3,6,15,40,1.4,1.3,-0.4,13,8,5,0,17,2,28,7,25,2.04,0.51,0.07,0.29,15.1,0,0,1,0.11,-1.9,-1.1,345,329,16,0,0,1,4,6,0,0,0,0,220,0,10,27,1.97,23,0,1,3,0,0,2,0.15,2,0,0,0,0,0,516,21,37,227,255,62,515,13,5,38.5,7,53.8,256,1251,440,20,15,13,50,28,371,72,0,19,6,6,4,10,0,0,0,41,45,56,44.6
"2022-2023","Excelsior","Eredivisie","Serano Seymor","NED","DF","20",10,1123,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0,0.3,5,25,1,0.08,0,0.08,0.08,0.08,0.02,0,0.02,0.02,0.02,21,12.5,22,14,14,7,1,9,13,69.2,4,15,9,6,20,42,62,1,374,456,82,8291,2570,72,85,84.7,248,276,89.9,54,89,60.7,0,0.1,0,1,20,1,1,25,1,2,2,100,0.16,0.16,0.5,0.5,8.8,0,0,0,0.12,0.8,0.8,456,441,15,12,0,3,2,1,0,0,0,0,374,0,2,5,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,591,112,358,232,7,2,591,5,4,80,1,20,330,1628,768,5,0,0,6,0,339,1,0,4,3,0,2,14,0,0,0,60,15,15,50
"2022-2023","Excelsior","Eredivisie","Mike van Duinen","NED","FW,MF","30",9,997,11.1,0,0,0,0,0,0,4,0,2.1,2.1,0.1,2.2,8,10,42,0,0,0,0,0,0.19,0.01,0.2,0.19,0.2,28,11.1,15,8,4,8,3,3,15,20,12,11,2,9,5,20,24,0,94,158,59.5,1195,248,65,89,73,22,40,55,3,6,50,0.1,0.1,-0.1,2,10,2,0,10,0,24,6,25,2.17,0.54,0,0,13.8,0,0,0,0.09,-2.1,-2.1,158,143,13,0,0,0,3,2,0,0,0,0,94,2,9,11,0.99,7,0,0,2,2,0,0,0,0,0,0,0,0,0,329,26,55,141,139,42,329,19,4,21.1,14,73.7,147,621,180,8,10,2,43,14,183,42,0,12,10,1,3,8,0,0,0,32,38,40,48.7
"2022-2023","Excelsior","Eredivisie","Yassin Ayoub","NED","MF","28",9,720,8,0,0,0,0,0,0,3,0,0.3,0.3,0.7,1.1,11,46,16,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13,15,8,32,19,9,23,0,11,19,57.9,8,6,1,5,4,36,10,0,308,387,79.6,5051,1841,153,175,87.4,107,132,81.1,35,53,66,0.7,1.1,-0.7,9,48,6,0,46,0,8,1,12.5,1,0.12,0,0,23,1,0,0,0.04,-0.3,-0.3,387,350,35,14,1,1,22,4,17,4,9,0,308,2,9,24,3,12,8,1,1,2,0,1,0.12,1,0,0,0,0,0,489,18,94,296,106,13,489,14,8,57.1,2,14.3,270,1297,529,11,10,6,21,16,292,16,0,10,9,1,22,19,0,0,0,67,4,9,30.8
"2022-2023","Excelsior","Eredivisie","Adrian Fein","GER","MF","23",8,728,8.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,4,48,4,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,14,8.1,14,5,8,1,5,9,14,64.3,5,3,1,2,2,16,9,0,257,318,80.8,4253,1385,124,143,86.7,112,129,86.8,17,30,56.7,0.4,0.6,-0.4,5,31,7,2,48,0,3,1,33.3,0.37,0.12,0,0,26.3,0,0,0,0.04,-0.1,-0.1,318,308,10,9,0,2,3,1,0,0,0,0,257,0,4,9,1.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,351,13,71,208,75,2,351,2,1,50,1,50,179,809,408,4,5,0,4,1,217,4,0,8,2,0,3,5,0,0,0,48,4,5,44.4
"2022-2023","Excelsior","Eredivisie","Arthur Zagre","FRA","DF","20",8,618,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,5,8,8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,9,6.9,12,8,6,4,2,7,11,63.6,4,15,2,13,11,23,19,0,200,246,81.3,3171,975,122,134,91,62,78,79.5,14,23,60.9,0,0.2,0,1,7,2,0,8,0,1,0,0,0.15,0,0,NA,13,0,0,0,0.14,-0.1,-0.1,246,187,58,5,2,2,3,53,0,0,0,0,200,1,6,3,0.44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,335,35,162,120,57,6,335,23,15,65.2,6,26.1,141,678,306,5,5,2,15,5,140,8,0,9,4,0,3,8,0,0,0,45,3,4,42.9
"2022-2023","Excelsior","Eredivisie","Kik Pierie","NED","DF","22",7,583,6.5,1,1,2,1,0,0,0,0,1,1,1.1,2.1,3,13,1,0.15,0.15,0.31,0.15,0.31,0.16,0.17,0.33,0.16,0.33,7,6.5,9,6,8,0,1,4,8,50,4,20,16,4,13,22,37,1,203,265,76.6,4393,1521,54,63,85.7,115,128,89.8,34,69,49.3,1.1,0.1,-0.1,4,14,1,0,13,1,5,2,40,0.77,0.31,0.2,0.5,7.5,0,0,0,0.2,0,0,265,257,8,6,0,7,0,2,0,0,0,0,203,0,2,8,1.23,6,0,0,2,0,0,1,0.15,0,0,0,1,0,0,357,79,234,110,17,8,357,4,2,50,0,0,192,906,462,3,1,0,5,1,204,1,0,4,4,0,0,6,0,0,0,38,12,14,46.2
"2022-2023","Excelsior","Eredivisie","Joshua Eijgenraam","NED","MF","21",5,597,6.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,3,14,7,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,13,6.6,15,8,9,6,0,8,16,50,8,11,2,9,13,28,7,1,157,208,75.5,2756,874,68,86,79.1,70,85,82.4,14,22,63.6,0,0.1,0,1,17,0,0,14,0,4,0,0,0.6,0,0,NA,26.2,0,0,0,0.05,-0.2,-0.2,208,205,2,1,0,1,1,1,0,0,0,0,157,1,9,6,0.9,4,0,1,1,0,0,1,0.15,1,0,0,0,0,0,284,20,103,162,23,5,284,2,2,100,0,0,138,602,315,3,2,1,12,6,156,7,0,9,0,0,1,8,0,0,0,36,3,3,50
"2022-2023","Excelsior","Eredivisie","Nikolas Agrafiotis","NED","FW,MF","22",5,564,6.3,2,0,2,2,0,1,2,0,2.8,2.1,0.6,2.7,3,13,23,0.32,0,0.32,0.32,0.32,0.45,0.09,0.54,0.34,0.43,17,6.3,7,6,2,4,1,0,5,0,5,7,2,5,1,8,8,0,100,175,57.1,1269,292,59,94,62.8,26,48,54.2,4,8,50,0.6,0.4,-0.6,3,10,4,0,13,2,15,5,33.3,2.39,0.8,0.13,0.4,11.4,0,0,1,0.15,-0.8,-0.1,175,170,5,0,2,0,2,2,0,0,0,0,100,0,6,14,2.23,5,0,1,7,1,0,2,0.32,1,0,0,1,0,0,258,9,18,125,116,31,257,17,7,41.2,6,35.3,111,468,104,3,4,0,20,6,194,23,0,16,9,5,2,6,0,0,0,9,35,37,48.6
"2022-2023","Excelsior","Eredivisie","Noah Naujoks","NED","MF,FW","20",4,396,4.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,7,15,19,0,0,0,0,0,0.08,0.06,0.14,0.08,0.14,10,4.4,11,4,3,6,2,2,13,15.4,11,4,1,3,3,14,6,0,79,109,72.5,1067,432,46,58,79.3,23,31,74.2,4,7,57.1,0.3,0.3,-0.3,5,6,3,2,15,0,4,1,25,0.91,0.23,0,0,14.3,0,0,0,0.09,-0.3,-0.3,109,101,8,1,0,0,4,1,0,0,0,0,79,0,5,11,2.51,8,0,1,0,2,0,0,0,0,0,0,0,0,0,168,9,36,75,60,10,168,13,6,46.2,5,38.5,77,432,200,7,3,1,11,6,83,19,0,7,5,0,4,4,1,0,0,28,9,6,60
"2022-2023","Excelsior","Eredivisie","Nathan Markelo","CUW","DF,MF","23",3,372,4.1,0,0,0,0,0,0,2,0,0,0,0.2,0.3,6,7,6,0,0,0,0,0,0,0.06,0.06,0,0.06,14,4.1,6,3,4,2,0,3,6,50,3,4,0,4,6,12,23,0,136,173,78.6,2328,754,68,77,88.3,56,68,82.4,8,17,47.1,0.2,0.1,-0.2,2,5,1,0,7,0,1,0,0,0.24,0,0,NA,16.8,0,0,0,0.01,0,0,173,150,22,3,0,1,4,19,0,0,0,0,136,1,4,4,0.97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,230,39,111,86,35,1,230,5,1,20,2,40,116,631,328,6,6,0,8,1,111,6,0,8,8,0,4,3,0,0,0,34,4,6,40
"2022-2023","Excelsior","Eredivisie","Maxime Awoudja","GER","DF","24",2,249,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,5,4,0,0,0,0,0,0.08,0,0.08,0.08,0.08,10,2.8,6,4,4,2,0,1,2,50,1,5,2,3,7,13,22,0,73,97,75.3,1330,239,26,34,76.5,41,49,83.7,4,11,36.4,0,0.1,0,0,2,1,1,5,0,2,1,50,0.72,0.36,0,0,11.1,0,0,0,0.11,-0.2,-0.2,97,95,2,2,0,2,1,0,0,0,0,0,73,0,0,2,0.72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,148,33,87,49,13,5,148,2,0,0,2,100,67,231,67,0,0,0,2,0,70,4,0,1,4,0,1,4,0,0,0,18,20,8,71.4
"2022-2023","Excelsior","Eredivisie","Raphaël Eyongo","NED","FW,MF","19",0,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,6,0,0,0,0,0,0.1,0,0.1,0.1,0.1,5,0.9,0,0,0,0,0,0,2,0,2,1,0,1,0,0,2,0,9,17,52.9,131,28,4,9,44.4,5,7,71.4,0,0,NA,0,0,0,0,1,0,0,1,0,1,1,100,1.1,1.1,0,0,11.9,0,0,0,0.1,-0.1,-0.1,17,16,1,0,0,0,0,0,0,0,0,0,9,0,0,1,1.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,3,14,14,5,30,3,3,100,0,0,15,67,23,1,0,1,7,1,19,6,0,0,0,1,0,0,0,0,0,3,4,4,50
"2022-2023","Excelsior","Eredivisie","Jacky Donkor","BEL","FW,MF","23",0,67,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,3,4,10,0,0,0,0,0,0.21,0.09,0.3,0.21,0.3,6,0.7,0,0,0,0,0,0,1,0,1,1,0,1,3,3,0,0,21,37,56.8,357,140,8,11,72.7,10,18,55.6,2,4,50,0.1,0.1,-0.1,1,2,2,1,4,0,3,1,33.3,4.03,1.34,0,0,26.6,0,0,0,0.05,-0.2,-0.2,37,33,4,0,0,0,5,4,0,0,0,0,21,0,2,2,2.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,2,10,20,26,2,55,6,3,50,2,33.3,30,172,102,3,1,0,5,0,27,10,0,1,1,1,5,0,0,0,0,11,1,3,25
"2022-2023","Excelsior","Eredivisie","Vicente Besuijen","NED","FW,MF","21",0,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,2,8,0,0,0,0,0,0.14,0,0.14,0.14,0.14,2,0.7,4,3,2,1,1,3,3,100,0,2,0,2,0,4,1,0,18,25,72,274,60,10,11,90.9,6,9,66.7,2,3,66.7,0,0,0,0,3,1,0,2,0,1,0,0,1.38,0,0,NA,9.6,0,0,0,0.1,-0.1,-0.1,25,24,1,0,0,1,2,1,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,6,12,20,2,37,2,1,50,1,50,20,153,70,2,0,0,3,0,21,8,0,0,1,1,2,3,0,0,0,5,0,1,0
"2022-2023","Excelsior","Eredivisie","Luuk Admiraal","NED","FW","20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,3,66.7,22,4,2,2,100,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,NA,0,NA,3,17,7,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"2022-2023","Emmen","Eredivisie","Keziah Veendorp","NED","MF,DF","25",33,2858,31.8,0,3,3,0,0,0,3,0,0.4,0.4,1.7,2.1,27,161,50,0,0.09,0.09,0,0.09,0.01,0.05,0.07,0.01,0.07,33,31.8,52,30,29,20,3,35,61,57.4,26,31,10,21,30,82,72,1,1494,1849,80.8,25911,9092,741,823,90,553,651,84.9,167,287,58.2,1.7,3.8,1.3,19,182,24,2,161,0,9,2,22.2,0.28,0.06,0,0,29.5,1,0,0,0.04,-0.4,-0.4,1849,1692,152,54,5,14,14,98,0,0,0,0,1494,5,24,50,1.58,48,1,0,0,0,1,9,0.28,9,0,0,0,0,0,2127,131,633,1230,285,8,2127,26,17,65.4,9,34.6,1108,5099,2301,27,21,1,26,7,1312,50,0,21,5,0,14,30,0,0,0,219,36,30,54.5
"2022-2023","Emmen","Eredivisie","Mark Diemers","NED","MF,FW","28",31,2721,30.2,2,5,7,2,0,0,2,0,4.2,4.2,6.1,10.3,83,160,133,0.07,0.17,0.23,0.07,0.23,0.14,0.2,0.34,0.14,0.34,32,30.2,30,23,10,11,9,16,39,41,23,22,3,19,13,43,12,1,1240,1659,74.7,20642,5808,643,721,89.2,412,512,80.5,129,308,41.9,6.1,7,-1.1,56,131,44,11,160,2,66,21,31.8,2.18,0.69,0.03,0.1,23.7,9,0,0,0.06,-2.2,-2.2,1659,1386,268,91,6,17,240,28,120,42,61,1,1240,5,35,113,3.75,67,27,6,6,6,1,7,0.23,2,4,0,1,0,0,1954,16,206,918,860,40,1954,89,34,38.2,31,34.8,1242,7481,3200,83,82,12,76,41,1356,133,0,12,81,3,240,23,0,0,0,175,9,11,45
"2022-2023","Emmen","Eredivisie","Miguel Araujo","PER","DF","27",30,2695,29.9,1,0,1,1,0,0,5,1,1.8,1.8,0.2,2,24,117,7,0.03,0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,31,29.9,64,34,44,19,1,27,37,73,10,52,32,20,36,100,126,0,1347,1667,80.8,28522,10550,391,439,89.1,716,802,89.3,219,379,57.8,0.2,0.9,-0.2,4,112,2,0,117,1,13,3,23.1,0.43,0.1,0.08,0.33,12.5,0,0,0,0.14,-0.8,-0.8,1667,1604,62,56,1,22,2,5,0,0,0,0,1347,1,14,7,0.23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,299,1079,878,69,26,2012,13,5,38.5,2,15.4,1113,5920,3849,24,16,0,12,9,1273,7,1,21,18,1,2,34,0,0,0,175,78,63,55.3
"2022-2023","Emmen","Eredivisie","Ole Romeny","NED","FW,MF","22",29,2497,27.7,11,1,12,11,0,0,2,0,8.3,8.3,1.9,10.1,63,47,165,0.4,0.04,0.43,0.4,0.43,0.3,0.07,0.37,0.3,0.37,33,27.7,35,23,10,16,9,16,28,57.1,12,19,5,14,8,43,27,0,585,759,77.1,7737,1300,390,445,87.6,143,191,74.9,21,44,47.7,1.9,1.8,-0.9,21,29,9,3,47,11,50,26,52,1.8,0.94,0.22,0.42,13.9,0,0,0,0.17,2.7,2.7,759,734,22,1,1,5,33,6,1,0,0,0,585,3,22,58,2.09,38,1,5,3,10,1,4,0.14,2,0,0,0,2,0,1120,39,156,507,477,82,1120,87,21,24.1,46,52.9,718,4144,1853,63,56,17,82,45,849,165,0,24,85,13,33,23,1,0,0,125,23,61,27.4
"2022-2023","Emmen","Eredivisie","Richairo Živković","CUW","FW","25",29,2407,26.7,5,0,5,5,0,0,8,0,7.5,7.5,1,8.5,28,22,120,0.19,0,0.19,0.19,0.19,0.28,0.04,0.32,0.28,0.32,32,26.7,41,30,14,14,13,19,43,44.2,24,15,4,11,9,50,30,0,343,492,69.7,4199,763,219,282,77.7,86,112,76.8,8,28,28.6,1,1,-1,10,16,8,2,22,5,49,17,34.7,1.83,0.64,0.1,0.29,13.3,0,0,0,0.15,-2.5,-2.5,492,429,59,2,1,2,11,16,1,0,0,0,343,4,21,32,1.2,21,0,1,5,5,0,1,0.04,0,0,0,1,0,0,757,37,111,315,337,102,757,22,3,13.6,18,81.8,370,1693,684,28,17,18,58,23,479,120,0,48,30,5,11,30,0,0,0,73,33,49,40.2
"2022-2023","Emmen","Eredivisie","Jeroen Veldmate","NED","DF","33",25,1989,22.1,3,0,3,2,1,1,1,0,1.5,0.7,0.5,1.2,8,86,1,0.14,0,0.14,0.09,0.09,0.07,0.02,0.09,0.03,0.05,25,22.1,25,16,15,10,0,12,14,85.7,2,19,13,6,26,51,120,0,1139,1319,86.4,23574,8497,327,368,88.9,651,710,91.7,149,217,68.7,0.5,0.8,-0.5,6,84,3,2,86,3,11,2,18.2,0.5,0.09,0.18,1,19.5,5,1,1,0.07,1.5,1.3,1319,1259,58,52,1,17,2,2,0,0,0,0,1139,2,8,19,0.86,17,0,0,2,0,0,1,0.05,1,0,0,0,0,0,1547,235,811,704,40,15,1546,1,1,100,0,0,832,4264,2522,8,8,0,7,0,976,1,0,16,9,0,2,16,0,0,0,136,50,19,72.5
"2022-2023","Emmen","Eredivisie","Lucas Bernadou","FRA","MF","21",22,1887,21,2,4,6,2,0,0,3,0,0.5,0.5,2,2.5,30,99,44,0.1,0.19,0.29,0.1,0.29,0.02,0.09,0.12,0.02,0.12,30,21,47,27,20,21,6,27,54,50,27,18,2,16,31,78,26,0,858,1008,85.1,14106,3015,429,466,92.1,338,378,89.4,69,93,74.2,2,2,2,18,92,11,1,99,2,10,3,30,0.48,0.14,0.2,0.67,20.7,0,0,0,0.05,1.5,1.5,1008,988,18,10,2,4,15,8,0,0,0,0,858,2,22,45,2.15,38,0,4,2,0,1,8,0.38,6,0,2,0,0,0,1228,43,253,708,283,18,1228,40,20,50,19,47.5,672,3566,1659,30,25,5,30,18,810,44,0,16,11,0,15,27,0,0,0,130,17,30,36.2
"2022-2023","Emmen","Eredivisie","Mohamed Bouchouari","BEL","DF","21",18,1738,19.3,1,1,2,1,0,0,2,0,1.1,1.1,2.6,3.7,59,61,135,0.05,0.05,0.1,0.05,0.1,0.06,0.13,0.19,0.06,0.19,26,19.3,52,24,27,17,8,25,53,47.2,28,33,5,28,17,69,49,0,671,979,68.5,10470,3872,364,438,83.1,239,350,68.3,42,130,32.3,2.6,3.2,-1.6,14,37,23,9,61,1,29,7,24.1,1.5,0.36,0.03,0.14,24.3,1,0,0,0.04,-0.1,-0.1,979,808,168,10,2,4,93,156,2,1,0,0,671,3,21,45,2.33,32,1,0,3,6,3,6,0.31,4,0,0,0,2,0,1256,75,370,463,436,34,1256,45,19,42.2,22,48.9,638,4110,2031,59,41,14,36,16,657,135,0,21,25,1,93,24,0,0,0,134,9,16,36
"2022-2023","Emmen","Eredivisie","Jari Vlak","NED","MF","23",18,1685,18.7,1,0,1,1,0,0,4,0,0.9,0.9,0.5,1.5,17,73,32,0.05,0,0.05,0.05,0.05,0.05,0.03,0.08,0.05,0.08,31,18.7,37,18,20,13,4,12,48,25,36,37,13,24,25,62,43,0,689,921,74.8,11050,3547,354,418,84.7,234,301,77.7,64,123,52,0.5,1.1,-0.5,9,80,12,0,73,1,18,10,55.6,0.96,0.53,0.06,0.1,23.3,0,0,0,0.05,0.1,0.1,921,907,7,5,1,9,14,2,0,0,0,0,689,7,22,30,1.6,23,1,0,4,1,1,3,0.16,1,0,0,2,0,0,1151,73,335,626,197,18,1151,17,7,41.2,10,58.8,549,2641,1285,17,16,2,29,11,693,32,0,19,4,1,14,18,0,1,0,139,43,32,57.3
"2022-2023","Emmen","Eredivisie","Lorenzo Burnet","NED","DF","31",17,1327,14.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,24,41,49,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,19,14.7,38,26,26,12,0,19,27,70.4,8,22,5,17,15,53,50,0,503,645,78,7837,2931,282,312,90.4,172,213,80.8,37,80,46.3,0.4,0.8,-0.4,5,26,12,6,41,0,3,1,33.3,0.2,0.07,0,0,22.1,0,0,0,0.06,-0.2,-0.2,645,515,128,10,1,0,25,118,0,0,0,0,503,2,15,17,1.15,14,2,0,0,1,0,0,0,0,0,0,0,0,0,831,71,271,384,188,6,831,17,7,41.2,8,47.1,387,1765,834,24,16,4,25,13,420,49,0,15,10,2,25,26,0,0,0,68,13,17,43.3
"2022-2023","Emmen","Eredivisie","Rui Mendes","GER","FW,MF","22",16,1410,15.7,1,3,4,1,0,0,2,0,1.5,1.5,4.3,5.8,45,32,89,0.06,0.19,0.26,0.06,0.26,0.1,0.28,0.37,0.1,0.37,18,15.7,14,9,5,7,2,7,16,43.8,9,4,1,3,8,22,4,0,211,324,65.1,2759,742,115,152,75.7,72,108,66.7,5,18,27.8,4.3,5,-1.3,32,8,11,2,32,1,18,4,22.2,1.15,0.26,0.06,0.25,17,0,0,0,0.08,-0.5,-0.5,324,315,8,1,1,0,17,4,0,0,0,0,211,1,15,56,3.57,46,0,5,2,1,2,3,0.19,3,0,0,0,0,0,473,5,66,157,259,76,473,47,11,23.4,34,72.3,263,1764,1120,45,25,20,34,15,304,89,0,17,5,6,17,9,0,0,0,59,7,20,25.9
"2022-2023","Emmen","Eredivisie","Ahmed El Messaoudi","MAR","MF,FW","26",16,1408,15.6,2,0,2,2,0,0,0,0,2.6,2.6,0.8,3.4,34,58,52,0.13,0,0.13,0.13,0.13,0.17,0.05,0.22,0.17,0.22,25,15.6,23,14,9,10,4,5,19,26.3,14,23,6,17,9,32,16,0,485,598,81.1,6967,2006,280,326,85.9,154,179,86,22,37,59.5,0.8,1.3,-0.8,16,44,12,3,58,2,27,10,37,1.73,0.64,0.07,0.2,16.3,0,0,0,0.1,-0.6,-0.6,598,588,9,7,5,4,8,0,0,0,0,0,485,1,21,38,2.43,26,1,6,2,2,1,2,0.13,2,0,0,0,0,0,792,28,145,411,254,36,792,54,30,55.6,18,33.3,508,3033,1452,34,28,2,41,31,573,52,0,15,29,2,8,14,0,0,0,72,28,21,57.1
"2022-2023","Emmen","Eredivisie","Julius Dirksen","NED","DF","19",15,1407,15.6,0,0,0,0,0,0,1,0,0.7,0.7,1.1,1.7,8,40,19,0,0,0,0,0,0.04,0.07,0.11,0.04,0.11,27,15.6,39,24,18,17,4,28,46,60.9,18,29,11,18,34,73,67,1,680,878,77.4,11839,3826,301,348,86.5,303,376,80.6,63,123,51.2,1.1,0.8,-1.1,12,52,8,5,40,0,10,4,40,0.64,0.26,0,0,20.2,0,0,0,0.07,-0.7,-0.7,878,748,128,14,0,6,15,114,0,0,0,0,680,2,12,26,1.66,23,0,0,2,0,1,1,0.06,1,0,0,0,0,0,1099,111,453,497,156,10,1099,10,5,50,4,40,529,2198,1025,8,5,1,15,5,571,19,0,8,5,0,15,24,0,0,0,87,24,25,49
